Unit	Page	Verses	Attributions	Biblical	Comment
711	64v	Rom.12.21	ια  	μὴ νικῶ ὑπο τοῦ κακοῦ ἀλλὰ νίκα ἐν τῶι ἀγαθῶι τὸ κακόν 	μαλαξας πρότερον τὸν ἀδικηθέντα καὶ πείσας αὐτον εὐεργετεῖν διὰ τοῦ εἰπεῖν ἄνθρακας σωρεύσεις νυν ὑψηλοτερον αὐτῶι παραινεῖ εἰ γὰρ τοιαύτη φησι διαθέσει τρέφεις ἵνα πῦρ αὐτω σωρεύσεις οὐκ ἐνίκησας τὸ κακὸν ἂλλ ἡττήθης αὐτῶι ἐγὼ δέ σε φησι νικᾷν τὸ κακὸν βούλομαι τοιγαροῦν μὴ διαθέσει κακοποιῷ εὐεργετεῖ ὑπὲρ γὰρ παραμυθίας σου φησιν εἴρηται τὰ εἰρημένα οὐχ ἵνα οὕτω ποιῇς 
711Ph	64v	Rom.12.21	Φωτ(ιου) *  		Οὐκοῦν οὐ δεῖ φησὶ ποιεῖν ἵνα μὴ σωρεύωμεν ἄνθρακας ἀλλ' ἑτέρως ἐπὶ τὴν κεφαλὴν τὴν σὴν ἄνθρακας σωρεύειν θέλεις καὶ γὰρ τοῦτο ποιεῖ μνησικακία οὐ γὰρ σὺ τοῦτο ποιεῖς ἀλλ' ἐκεῖνος ὁ θηριώδης εἰ γὰρ εὐεργετοῦντος σου μένει φυλάττων ἐκεῖνος τὴν ἀπέχθειαν ἑαυτῷ τὸ πῦρ ἀνῆψεν αὐτὸς ἔφλεξεν αὐτοῦ τὴν κεφαλὴν σὺ δὲ ἀναίτιος εἶ μὴ γίνου τοῦ θεοῦ φιλανθρωπότερος ἐπεὶ μυρία πείσῃ δεινὰ μηδὲ σοφιζώμεθα τὰ προστάγματα τοῦ θεοῦ εἶπεν τοῦτο ποιῶν ἄνθρακας πυρὸς σωρεύσεις σὺ δὲ λέγεις φείδομαι τοῦ ἐχθροῦ εἴθε σαυτοῦ ἐφροντιζες μὴ ποίει σκοπῷ τοιούτῳ μᾶλλον δὲ κἂν τοιούτῳ ποίησον σκοπῷ ἀλλ' οὐ ποιεῖς οὐ λέγω σοι ὅτι ἄνθρακας πυρὸς σωρεύσεις ἀλλὰ καὶ ἕτερον τι πλέον λέγω μόνον ποίησον ταῦτα γὰρ πάντα ἵνα σε ἐκκαλέσῃ τε φησὶν ὁ Παῦλος ἐλπίδι τῆς τιμωρίας λῦσαι τὴν ἔχθραν οὐδὲ γὰρ ἐστιν εὐεργετοῦντα καὶ εὐεργετούμενον μεῖναι ἐχθρον 
712	64v	Rom.13.1	ιβ  	πᾶσα ψυχὴ ἐξουσίαις ὑπερεχούσαις ὑποτασσέσθω 	πολλὴν τοῦ κεφαλαίου τούτου πανταχοῦ ποιεῖται πρόνοιαν δεικνὺς οὐκ ἐπὶ καταστροφῆι τῆς κοινῆς εὐταξίας τοὺς τοῦ Χριστοῦ νόμους είναι καὶ ὅτι ἀρκοῦσι καὶ οἱ διὰ τὴν ἀλήθειαν πολεμοῦντες φησιν ἡμῖν καί τι δεῖ καὶ ἡμᾶς περιττοὺς ἐπινοεῖν ἡμῖν αὐτοῖς πολεμίους 
713	64v	Rom.13.1	ιγ  	οὐ γὰρ ἐστιν ἐξουσία εἰ μὴ ἀπὸ θεοῦ 	οὐ περὶ τοῦ καθεκαστον ἄρχοντος ταῦτα λέγει ἀλλὰ περὶ αὐτῆς τῆς ἀρχῆς ἐπειδὴ γὰρ τὸ ὁμότιμον στασιῶδες ἦν εἰσήγαγεν ὁ θεὸς τὰς ἐξουσίας 
714	65r	Rom.13.1	ιδ  	αἱ δὲ {οὖσαι ὑπο /οὖσαι ἐξουσίαι ὑπο }* ὑπο θεοῦ τεταγμέναι εἰσιν 	κατὰ τοῦ αὐτοῦ εἶπεν εἰπὼν γὰρ οὐκ ἐστι ἐξουσία εἰ μὴ ὑπο θεοῦ πάλιν τὸ αὐτο λέγει αἱ δὲ οὖσαι φησιν ἐξουσίαι ὑπο τοῦ θεοῦ τεταγμέναι εἰσιν οἷον γεγονυῖαι ὁ θεός φησιν ἔταξε καὶ διωκησεν αὐτάς 
715	65r	Rom.13.2	ιε  	ώστε ὁ ἀντιτασσόμενος τῆι ἐξουσίαι τῆι τοῦ θεοῦ διαταγῆι ἀνθέστηκεν 	ἵνα μὴ εὐτελίζεσθαι νομίζωσιν οἱ τοῦ Χριστοῦ δοῦλοι ὑποτασσόμενοι ἄρχουσιν δείκνυσιν ὅτι χρὴ πείθεσθαι καὶ μὴ ἀντιτάσσεσθαι μηδὲ ἀπειθεῖν τοῖς ἄρχουσιν ὡς ὅ γε τοῦτο ποιῶν φησι θεῶι ἀντιλέγει τῶι πεποιηκότι τὰς ἀρχάς 
715Ph	65r	Rom.13.2	Φωτ(ιου) *  		ώστε αντιττασσομενος Κερδαίνεις κἀντεῦθεν φησὶν ὑποτασσομενος οὐ μόνον ὅτι ἐντολὴν πληροῖς ἀλλ' ὅτι καὶ τὸν θεὸν τιμᾷς τιμῶν τὴν ὑπ' αὐτοῦ τεταγμένην ἐξουσίαν καὶ τὸν ταύτην χειρίζοντα μακάριος οὖν ὁ οὕτω καὶ διὰ ταῦτα τὴν ἐξουσίαν τιμῶν καὶ ὑποτασσομενος ὥσπερ ἄθλιος ὁ διὰ ταῦτα μὴ ὑποκείμενος καὶ διπλοῦν γὰρ ἀποφέρεται κρίμα πρῶτον ἐκ τοῦ θεοῦ ὅτι τὴν ὑπ' αὐτοῦ τεταγμένην καὶ ὁρισθεῖσαν ἀρχὴν ἐξουθενεῖ δεύτερον καὶ ἐκ τῶν ἠτιμασμένων ἀρχοντων ὅρα δὲ καὶ τὸ κέρδος τῶν ἀρχοντων κωλύουσι τοὺς φαύλους προτρέπονται τοὺς σπουδαίους δι' ὧν αὐτοὺς τιμῶσι καὶ ἐπαινοῦσιν εἰς ἀρετὴν χρὴ οὖν αὐτοὺς ἀποδέχεσθαι καὶ διὰ τοῦτο καὶ ὅτι θεοῦ διάκονοὶ εἰσι τῷ θελήματι αὐτοῦ ὑπηρετούμενοι καὶ τρίτον ὅτι τὰ ἴδια λιπόντες ὑπὲρ τῶν κοινῶν φροντίζουσι τῇ τῶν πλησίον ὠφελείᾳ προσκαρτεροῦντες καὶ τῆς ἰδίας ἀνέσεως τὸν ὑπὲρ ἐκείνων πόνον ἀποδεχομενοι τὶς τούτοις εἰ καὶ μήτις φόβος ἐπέκειτο ἐξ αὐτοῦ τοῦ συνειδότος τῆς κρίσεως οὐκ ἂν ἀγάσαιτο καὶ ἐν πατέρων θήσειͅ καὶ προστατῶν λόγῳ μακάριοὶ εἰσιν οἱ τοιοῦτοι ἄρχοντες 
716	65r	Rom.13.2	ιϛ  	οἱ δὲ ανθετηκοτες ἑαυτοῖς κρίμα λήψονται 	κατάκρισιν φησι τὴν παρὰ θεοῦ ἑαυτοῖς ἐπισπῶνται 
717	65r	Rom.13.3	ιζ  	οἱ γὰρ ἄρχοντες οὐκ εἰσι φόβος 	τι ἀλγεῖς φησιν ὑποταγεὶς τῆι ἐξουσίαι τι δὲ φοβῇ αὐτὴν καὶ τρέμεις μὴ γὰρ ἐπιτιμᾷ τοῖς καλῶς ζῶσι δὲ μὴ γὰρ ἐστι φοβερὸς τῶι τῆς ἀρετῆς ἐπιμελομένωι 
718	65r	Rom.13.3	ιη  	τῶν ἀγαθῶν ἔργων 	τουτέστι τοῖς τὰ ἀγαθὰ πράττουσι 
719	65r	Rom.13.3	ιθ  	ἀλλὰ τῶν κακῶν 	τουτέστι τῶν τὰ κακὰ πραττόντων 
720	65r	Rom.13.3	κ  	θέλεις δὲ μὴ φοβεῖσθαι τὴν ἐξουσίαν τὸ ἀγαθον ποιεῖ καὶ ἕξεις ἔπαινον ἐξ αὐτῆς 	εἰ δὲ θέλεις φησι μὴ μόνον είναι σοι τὸν ἄρχοντα ἤπιον ἀλλὰ δὴ καὶ ἐπαινοῦντα τὸ ἀγαθον ποιεῖ 
721	65v	Rom.13.4	κα  	θεοῦ γὰρ διάκονὸς ἐστι σοι εἰς τὸ ἀγαθον 	τοσοῦτον γάρ φησιν ἐπαινέσει σε τὸ ἀγαθον πράττοντα ὅτι δεῖ καὶ συμπράξει σοι πρὸς τοῦτο ὁ γὰρ φόβος πρόφασις σοι γίνεται καλῶς βιοῦν διὰ τοῦτο δὲ εἶπεν θεοῦ αὐτον είναι διάκονον εἰς τὸ ἀγαθον ὅτι διακονεῖ τῆι βουλῆι τοῦ θεοῦ τοὺς ἀγαθοὺς ἐπαίνων καὶ τοὺς κακοὺς κολάζων ἐκ δὲ τούτου εἰς ἀγαθόν σε συνωθεῖ 
721Ph	65v	Rom.13.4	Φωτ(ιου) *  		θεοῦ γὰρ διάκονος ἐστι σοι καὶ σοὶ φησὶν ἐστὶ διάκονος εἰς τὸ ἀγαθον τοῦ θεοῦ δηλονότι διάκονος ὑπάρχων πῶς δὲ ἐστι σοὶ διάκονος κωλύων τοὺς κακοὺς καὶ τὴν ἀπ' αὐτῶν βλάβην σοι ἀφαιρούμενος καὶ ἄδειαν παρέχων εἰς τὸ ποιεῖν σε τὸ ἀγαθον διακονεῖ δὲ σοὶ εἰς τὸ ἀγαθον καὶ ὅταν σε ἐπὶ τοῖς κακοῖς φοβῇ ἀνακοπτων σε ἐκεῖθεν καὶ προτρεπόμενος ἐπ' ἀρετὴν ἔτι δὲ καὶ τιμῶν καὶ ἀποδεχομενος προτρέπει εἰς αὐτὸ τοῦτο 
722	65v	Rom.13.4	κβ  	εὰν δὲ τὸ κακὸν ποιῇς φοβοῦ οὐ γὰρ εἰκῆ 	οὐκ ἄρα ὁ ἄρχων αἴτιος σοι τοῦ φοβοῦ ἀλλὰ τὸ πράττειν κακῶς 
723	65v	Rom.13.4	κγ  	τὴν μάχαιραν φορεῖ 	ὁρᾷς πως ἐφόβησε μὲν τὸν ὑπήκοον καθώπλισε δὲ τὸν ἄρχοντα 
724	65v	Rom.13.4	κδ  	θεοῦ γὰρ διάκονὸς ἐστιν ἔκδικος εἰς ὀργὴν τῶι τὸ κακὸν πράσσοντι 	ὁ γὰρ τοὺς κακῶς βιοῦντας τιμωρούμενος θεῶ διακονεῖ εἰς ὀργήν 
725	65v	Rom.13.5	κε  	διὸ ἀνάγκη ὑποτάσσεσθαι οὐ μόνον διὰ τὴν ὀργὴν ἀλλὰ καὶ διὰ τὴν συνείδησιν 	ἀνάγκη οὖν φησι τοῖς ἄρχουσιν ὑποτάσσεσθαι οὐ μόνον διὰ τὴν ὀργὴν τοῦ θεοῦ τὴν κατὰ τῶν μὴ ὑποτασσομένων τῆι ἀρχῆι γινομένην ἀλλὰ καὶ διὰ τὴν συνείδησιν τουτέστιν ἵνα μὴ δόξης ἀσυνείδητός τις είναι καὶ ἀγνώμων τῶι εὐεργέτῃ καὶ τῶι διακονῶ τοῦ θεοῦ μὴ ὑποτασσομενος 
725Pha	65v	Rom.13.5	Φωτ(ιου) *  		∆ι ἀνάγκη ὑποτάσσεσθαι εἰ γὰρ διάκονος ἐστι θεοῦ εἰ ἐπαίνους ἕξεις ἐξ αὐτῆς οὐ μόνον δεῖ διὰ τὴν ἐξ αὐτῆς ὀργὴν ἐγγινομένην τοῖς ἁμαρτάνουσιν ὑποτάσσεσθαι αὐτῇ ἀλλά γε πολλῷ μᾶλλον προσήκει καὶ ὡς διάκονον θεοῦ καὶ ὡς ἐπαινοῦσαν καὶ ἐπαλείφουσαν ἐπ' ἀρετὴν τιμῆς αὐτὴν ἀξιοῦν καὶ γὰρ κἂν μηδεὶς ᾖ φόβος αὐτὴ ἡ συνείδησις εἰς ὑπακοὴν αὐτῆς καὶ ὑποταγὴν προτρέπεται 
725Phb	65v	Rom.13.5	Φωτ(ιου) *  		οὐ μόνον διὰ τὴν ὀργήν διὰ μὲν τὴν ὀργὴν οἱ φαῦλοι καὶ μὴ θέλοντες ὑποτάσσονται διὰ δὲ τὴν συνείδησιν ὀφείλουσιν οἱ σπουδαῖοι ἑκοντες καὶ σὺν προθυμίᾳ ὑποτάσσεσθαι 
726	65v	Rom.13.6	κϛ  	διὰ τοῦτο γὰρ καὶ φόρους τελεῖτε 	καὶ τοσοῦτόν φησιν εὐεργετοῦσιν αἱ ἐξουσίαι ὅτι καὶ φόρους τελεῖτε μισθὸν ὥσπερ τῆς κηδεμονίας καὶ τῆς προνοίας παρέχοντες 
727	65v	Rom.13.6	κζ  	λειτουργοὶ γὰρ θεοῦ εἰσιν 	τουτέστιν ὑπουργοὶ θεοῦ καὶ λειτουργοῦντες θεῶι τοῦτο τὸ ἡμῶν κήδεσθαι 
